Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
f;newton_raphson.hpp;44;7.58261775970459;1-8;Random bit-flip
results;newton_raphson_dup.cpp;28;8.50081205368042;1-8;Random bit-flip
f;newton_raphson.hpp;34;6.459472894668579;1-8;Random bit-flip
results;newton_raphson_dup.cpp;28;5.042170286178589;1-8;Random bit-flip
results2;newton_raphson_dup.cpp;45;2.4394185543060303;1-8;Random bit-flip
f;newton_raphson.hpp;44;3.9959213733673096;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;2.011171579360962;1-8;Random bit-flip
results1;newton_raphson_dup.cpp;43;2.0797131061553955;1-8;Random bit-flip
f;newton_raphson.hpp;44;6.004940748214722;1-8;Random bit-flip
f;newton_raphson.hpp;44;5.200417518615723;1-8;Random bit-flip
f;newton_raphson.hpp;34;1.9188532829284668;1-8;Random bit-flip
f;newton_raphson.hpp;44;8.388882875442505;1-8;Random bit-flip
f;newton_raphson.hpp;34;2.624873161315918;1-8;Random bit-flip
f;newton_raphson.hpp;34;3.564082384109497;1-8;Random bit-flip
f;newton_raphson.hpp;34;8.306735277175903;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;4.928037405014038;1-8;Random bit-flip
f;newton_raphson.hpp;44;7.183523178100586;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;3.1751081943511963;1-8;Random bit-flip
results2;newton_raphson_dup.cpp;45;7.275591135025024;1-8;Random bit-flip
f;newton_raphson.hpp;34;2.1172335147857666;1-8;Random bit-flip
f;newton_raphson.hpp;34;8.50685739517212;1-8;Random bit-flip
f;newton_raphson.hpp;44;1.285261869430542;1-8;Random bit-flip
f;newton_raphson.hpp;34;1.8255984783172607;1-8;Random bit-flip
f;newton_raphson.hpp;44;1.980726957321167;1-8;Random bit-flip
f;newton_raphson.hpp;44;8.014472961425781;1-8;Random bit-flip
f;newton_raphson.hpp;34;5.226041555404663;1-8;Random bit-flip
mxcsr;../sysdeps/i386/fpu/fenv_private.h;444;2.935373067855835;1-8;Random bit-flip
f;newton_raphson.hpp;44;5.551479816436768;1-8;Random bit-flip
results1;newton_raphson_dup.cpp;43;2.848050355911255;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;6.032513856887817;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;2.2738351821899414;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;6.275638580322266;1-8;Random bit-flip
results;newton_raphson_dup.cpp;28;1.6717941761016846;1-8;Random bit-flip
f;newton_raphson.hpp;34;2.748661994934082;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;7.791381359100342;1-8;Random bit-flip
fDiff;newton_raphson.hpp;45;3.1127429008483887;1-8;Random bit-flip
f;newton_raphson.hpp;34;6.207810163497925;1-8;Random bit-flip
